id_no,kutumba,name,class
S001,Atri,Aditya Sharma,10A
S002,Atri,Priya Nair,9B
S003,Atri,Rohan Menon,11A
S004,Atri,Sneha Pillai,10B
S005,Atri,Karthik Iyer,8A
S006,Kashyapa,Arjun Reddy,10A
S007,Kashyapa,Divya Krishnan,9A
S008,Kashyapa,Vikram Rao,11B
S009,Kashyapa,Ananya Bose,10B
S010,Kashyapa,Suresh Patel,8B
S011,Vashista,Meera Joshi,10A
S012,Vashista,Rahul Gupta,9B
S013,Vashista,Lakshmi Varma,11A
S014,Vashista,Nikhil Choudhary,10B
S015,Vashista,Pooja Desai,8A
S016,Gautama,Ajay Kumar,10A
S017,Gautama,Riya Singh,9A
S018,Gautama,Siddharth Nair,11B
S019,Gautama,Kavya Menon,10B
S020,Gautama,Harish Iyer,8B
